"","combo"
"1","LG/Al, DG/L"
"2","Y/Al, DG/L"
"3","DB/Al, DG/L"
"4","LB/Al, DG/L"
"5","B/Al, DG/L"
"6","L/Al, DG/L"
"7","BW/Al, DG/L"
"8","HPDB/Al, DG/L"
"9","LGL/Al, DG/L"
"10","RY/Al, DG/L"
"11","LW/Al, DG/L"
"12","DBR/Al, DG/L"
"13","RW/Al, DG/L"
"14","DG/Al, DG/LW"
"15","LG/Al, DG/LW"
"16","Y/Al, DG/LW"
"17","R/Al, DG/LW"
"18","DB/Al, DG/LW"
"19","LB/Al, DG/LW"
"20","O/Al, DG/LW"
"21","W/Al, DG/LW"
"22","B/Al, DG/LW"
"23","L/Al, DG/LW"
"24","BW/Al, DG/LW"
"25","HPDB/Al, DG/LW"
"26","LGL/Al, DG/LW"
"27","RY/Al, DG/LW"
"28","LW/Al, DG/LW"
"29","DBR/Al, DG/LW"
"30","RW/Al, DG/LW"
"31","DG/Al, DG/HPDB"
"32","LG/Al, DG/HPDB"
"33","Y/Al, DG/HPDB"
"34","R/Al, DG/HPDB"
"35","DB/Al, DG/HPDB"
"36","LB/Al, DG/HPDB"
"37","O/Al, DG/HPDB"
"38","W/Al, DG/HPDB"
"39","B/Al, DG/HPDB"
"40","L/Al, DG/HPDB"
"41","BW/Al, DG/HPDB"
"42","HPDB/Al, DG/HPDB"
"43","LGL/Al, DG/HPDB"
"44","RY/Al, DG/HPDB"
"45","LW/Al, DG/HPDB"
"46","DBR/Al, DG/HPDB"
"47","RW/Al, DG/HPDB"
"48","DG/Al, DG/LG"
"49","LG/Al, DG/LG"
"50","Y/Al, DG/LG"
"51","R/Al, DG/LG"
"52","DB/Al, DG/LG"
"53","LB/Al, DG/LG"
"54","O/Al, DG/LG"
"55","W/Al, DG/LG"
"56","B/Al, DG/LG"
"57","L/Al, DG/LG"
"58","BW/Al, DG/LG"
"59","LGL/Al, DG/LG"
"60","RY/Al, DG/LG"
"61","LW/Al, DG/LG"
"62","DBR/Al, DG/LG"
"63","RW/Al, DG/LG"
"64","DG/Al, DG/LGL"
"65","LG/Al, DG/LGL"
"66","Y/Al, DG/LGL"
"67","R/Al, DG/LGL"
"68","DB/Al, DG/LGL"
"69","LB/Al, DG/LGL"
"70","O/Al, DG/LGL"
"71","W/Al, DG/LGL"
"72","B/Al, DG/LGL"
"73","L/Al, DG/LGL"
"74","BW/Al, DG/LGL"
"75","HPDB/Al, DG/LGL"
"76","LGL/Al, DG/LGL"
"77","RY/Al, DG/LGL"
"78","LW/Al, DG/LGL"
"79","DBR/Al, DG/LGL"
"80","RW/Al, DG/LGL"
"81","DG/Al, DG/Y"
"82","Y/Al, DG/Y"
"83","DB/Al, DG/Y"
"84","LB/Al, DG/Y"
"85","O/Al, DG/Y"
"86","LGL/Al, DG/Y"
"87","RY/Al, DG/Y"
"88","LW/Al, DG/Y"
"89","DBR/Al, DG/Y"
"90","DG/Al, DG/R"
"91","LG/Al, DG/R"
"92","LB/Al, DG/R"
"93","O/Al, DG/R"
"94","BW/Al, DG/R"
"95","HPDB/Al, DG/R"
"96","LW/Al, DG/R"
"97","DBR/Al, DG/R"
"98","RW/Al, DG/R"
"99","DG/Al, DG/RY"
"100","LG/Al, DG/RY"
"101","Y/Al, DG/RY"
"102","R/Al, DG/RY"
"103","DB/Al, DG/RY"
"104","LB/Al, DG/RY"
"105","O/Al, DG/RY"
"106","W/Al, DG/RY"
"107","B/Al, DG/RY"
"108","L/Al, DG/RY"
"109","BW/Al, DG/RY"
"110","HPDB/Al, DG/RY"
"111","LGL/Al, DG/RY"
"112","RY/Al, DG/RY"
"113","LW/Al, DG/RY"
"114","DBR/Al, DG/RY"
"115","RW/Al, DG/RY"
"116","DG/Al, DG/RW"
"117","LG/Al, DG/RW"
"118","Y/Al, DG/RW"
"119","R/Al, DG/RW"
"120","DB/Al, DG/RW"
"121","LB/Al, DG/RW"
"122","B/Al, DG/RW"
"123","L/Al, DG/RW"
"124","BW/Al, DG/RW"
"125","HPDB/Al, DG/RW"
"126","LGL/Al, DG/RW"
"127","RY/Al, DG/RW"
"128","LW/Al, DG/RW"
"129","DBR/Al, DG/RW"
"130","RW/Al, DG/RW"
"131","DG/Al, DG/DB"
"132","LG/Al, DG/DB"
"133","DB/Al, DG/DB"
"134","O/Al, DG/DB"
"135","W/Al, DG/DB"
"136","B/Al, DG/DB"
"137","L/Al, DG/DB"
"138","BW/Al, DG/DB"
"139","HPDB/Al, DG/DB"
"140","LGL/Al, DG/DB"
"141","RY/Al, DG/DB"
"142","LW/Al, DG/DB"
"143","DBR/Al, DG/DB"
"144","RW/Al, DG/DB"
"145","DG/Al, DG/DBR"
"146","LG/Al, DG/DBR"
"147","Y/Al, DG/DBR"
"148","R/Al, DG/DBR"
"149","DB/Al, DG/DBR"
"150","LB/Al, DG/DBR"
"151","O/Al, DG/DBR"
"152","W/Al, DG/DBR"
"153","B/Al, DG/DBR"
"154","L/Al, DG/DBR"
"155","BW/Al, DG/DBR"
"156","HPDB/Al, DG/DBR"
"157","LGL/Al, DG/DBR"
"158","RY/Al, DG/DBR"
"159","LW/Al, DG/DBR"
"160","DBR/Al, DG/DBR"
"161","RW/Al, DG/DBR"
"162","DG/Al, DG/LB"
"163","LG/Al, DG/LB"
"164","Y/Al, DG/LB"
"165","R/Al, DG/LB"
"166","DB/Al, DG/LB"
"167","LB/Al, DG/LB"
"168","O/Al, DG/LB"
"169","W/Al, DG/LB"
"170","B/Al, DG/LB"
"171","L/Al, DG/LB"
"172","BW/Al, DG/LB"
"173","HPDB/Al, DG/LB"
"174","LGL/Al, DG/LB"
"175","RY/Al, DG/LB"
"176","LW/Al, DG/LB"
"177","DBR/Al, DG/LB"
"178","RW/Al, DG/LB"
"179","LG/Al, DG/O"
"180","R/Al, DG/O"
"181","LB/Al, DG/O"
"182","O/Al, DG/O"
"183","W/Al, DG/O"
"184","B/Al, DG/O"
"185","BW/Al, DG/O"
"186","HPDB/Al, DG/O"
"187","LW/Al, DG/O"
"188","RW/Al, DG/O"
"189","LG/Al, DG/W"
"190","Y/Al, DG/W"
"191","DB/Al, DG/W"
"192","LB/Al, DG/W"
"193","W/Al, DG/W"
"194","B/Al, DG/W"
"195","BW/Al, DG/W"
"196","LGL/Al, DG/W"
"197","RY/Al, DG/W"
"198","LW/Al, DG/W"
"199","DBR/Al, DG/W"
"200","RW/Al, DG/W"
"201","DG/Al, DG/B"
"202","LG/Al, DG/B"
"203","Y/Al, DG/B"
"204","DB/Al, DG/B"
"205","LB/Al, DG/B"
"206","O/Al, DG/B"
"207","B/Al, DG/B"
"208","BW/Al, DG/B"
"209","HPDB/Al, DG/B"
"210","LGL/Al, DG/B"
"211","RY/Al, DG/B"
"212","LW/Al, DG/B"
"213","DBR/Al, DG/B"
"214","RW/Al, DG/B"
"215","DG/Al, DG/BW"
"216","Y/Al, DG/BW"
"217","R/Al, DG/BW"
"218","DB/Al, DG/BW"
"219","LB/Al, DG/BW"
"220","O/Al, DG/BW"
"221","W/Al, DG/BW"
"222","B/Al, DG/BW"
"223","L/Al, DG/BW"
"224","BW/Al, DG/BW"
"225","HPDB/Al, DG/BW"
"226","LGL/Al, DG/BW"
"227","RY/Al, DG/BW"
"228","LW/Al, DG/BW"
"229","DBR/Al, DG/BW"
"230","RW/Al, DG/BW"
"231","LG/Al, L/DG"
"232","Y/Al, L/DG"
"233","DB/Al, L/DG"
"234","LB/Al, L/DG"
"235","L/Al, L/DG"
"236","BW/Al, L/DG"
"237","LGL/Al, L/DG"
"238","RY/Al, L/DG"
"239","LW/Al, L/DG"
"240","DBR/Al, L/DG"
"241","RW/Al, L/DG"
"242","DG/Al, L/HPDB"
"243","LG/Al, L/HPDB"
"244","R/Al, L/HPDB"
"245","DB/Al, L/HPDB"
