Year,"color band (XoYleft, right)"
2018,"LG/Al, Y/L"
2018,"RW/AL, HPDB/DG"
2018,"BW/AL, L/LB"
2018,"HPDB/Al, L/R"
2018,"PINK/PINK, Al/O"
2018,"L/Al, Y/LB"
2018,"DG/AL, LG/DB"
2018,"Y/Y, Y/Al"
2018,"L/Al, R/BW"
2018,"RW/Al, Y/R"
2018,"LG/LG, L/Al"
2018,"HPDB/AL, L/L"
2018,"LG/Al, LB/R"
2018,"DG/Al, L/DG"
2018,"W/Al, HPDB/Y"
2018,"LB/Al, DG/DB"
2018,"LB/AL, W/R"
2018,"Y/Al, W/Y"
2018,"L/Al, HPDB/W"
2018,"Al/W, L/Y"
2018,"LB/Al, BW/DB"
2018,"L/Al, LG/RW"
2018,"DG/Al, O/DB"
2018,"BW/Al, R/Y"
2018,"L/Al, DB/LG"
2018,"DG/L, Al/BW"
2018,"W/Al, DG/Y"
2018,"RW/Al, L/Y"
2018,"LG/Al, HPDB/DG"
2018,"Al/DG, RW/HPDB"
2018,"Y/Al, DG/R"
2018,"LG/Al, L/BW"
2018,"W/Al, O/DB"
2018,"O/Al, HPDB/DG"
2018,"BW/Al, W/O"
2018,"DG/Al, HPDB/DB"
2018,"W, O/Al"
2018,"Y/Al, LG/R"
2018,"R/Al, RW/BW"
2018,"R/Al, HPDB/HPDB"
2018,"LG/AL, O/W"
2018,"Y/Al, BW/DG"
2018,"R/Al, DG/L"
2018,"DG/Al, W/LG"
2018,"DG/Al, DB/LB"
2018,"L/AL, BW/Y"
2018,"O/Al, DG/W"
2018,"DB/Al, W/R"
2018,"RW/Al, O/DB"
2018,"BW/Al, DB/W"
2018,"RW/Al, DG/Y"
2018,"O/Al, LG/HPDB"
2018,"LG/Al, BW/Y"
2018,"R/Al, L/DB"
2018,"L/Al, DG/O"
2018,"Y/Al, RW/BW"
2018,"DG/Al, BW/L"
2018,"RW/Al, LG/W"
2018,"L/Al, HPDB/DG"
2018,"RW/Al, BW/LG"
2018,"W/Al, BW/DG"
2018,"DG/Al, O/HPDB"
2018,"LG/Al, O/HPDB"
2018,"B/Al, R/W"
2018,"Y/Al, LGL/R"
2018,"LB/Al, Y/LG"
2018,"B/Al, L/DB"
2018,"DBR/Al, Y/DG"
2018,"R/Al, LGL/W"
2018,"DG/AL, Y/B"
2018,"LB/Al, HPDB/W"
2018,"Y/Al, DBR/O"
2018,"L/Al, B/W"
2018,"DG/Al, DBR/Y"
