"","combo"
"1","DG/L, DG/Al"
"2","DG/LW, DG/Al"
"3","DG/HPDB, DG/Al"
"4","DG/LG, DG/Al"
"5","DG/LGL, DG/Al"
"6","DG/Y, DG/Al"
"7","DG/R, DG/Al"
"8","DG/RY, DG/Al"
"9","DG/RW, DG/Al"
"10","DG/DBR, DG/Al"
"11","DG/LB, DG/Al"
"12","DG/O, DG/Al"
"13","DG/W, DG/Al"
"14","DG/B, DG/Al"
"15","DG/BW, DG/Al"
"16","L/DG, DG/Al"
"17","L/HPDB, DG/Al"
"18","L/LG, DG/Al"
"19","L/Y, DG/Al"
"20","L/R, DG/Al"
"21","L/RY, DG/Al"
"22","L/DB, DG/Al"
"23","L/DBR, DG/Al"
"24","L/LB, DG/Al"
"25","L/W, DG/Al"
"26","L/B, DG/Al"
"27","LW/DG, DG/Al"
"28","LW/LG, DG/Al"
"29","LW/R, DG/Al"
"30","LW/RY, DG/Al"
"31","LW/DBR, DG/Al"
"32","LW/LB, DG/Al"
"33","LW/O, DG/Al"
"34","LW/B, DG/Al"
"35","HPDB/DG, DG/Al"
"36","HPDB/L, DG/Al"
"37","HPDB/LG, DG/Al"
"38","HPDB/LGL, DG/Al"
"39","HPDB/R, DG/Al"
"40","HPDB/RY, DG/Al"
"41","HPDB/RW, DG/Al"
"42","HPDB/W, DG/Al"
"43","HPDB/BW, DG/Al"
"44","LG/DG, DG/Al"
"45","LG/L, DG/Al"
"46","LG/LW, DG/Al"
"47","LG/HPDB, DG/Al"
"48","LG/R, DG/Al"
"49","LG/RY, DG/Al"
"50","LG/RW, DG/Al"
"51","LG/DB, DG/Al"
"52","LG/DBR, DG/Al"
"53","LG/LB, DG/Al"
"54","LG/O, DG/Al"
"55","LG/W, DG/Al"
"56","LG/B, DG/Al"
"57","LG/BW, DG/Al"
"58","LGL/DG, DG/Al"
"59","LGL/HPDB, DG/Al"
"60","LGL/Y, DG/Al"
"61","LGL/R, DG/Al"
"62","LGL/RY, DG/Al"
"63","LGL/RW, DG/Al"
"64","LGL/DB, DG/Al"
"65","LGL/DBR, DG/Al"
"66","LGL/LB, DG/Al"
"67","LGL/O, DG/Al"
"68","LGL/W, DG/Al"
"69","LGL/B, DG/Al"
"70","LGL/BW, DG/Al"
"71","Y/DG, DG/Al"
"72","Y/L, DG/Al"
"73","Y/LG, DG/Al"
"74","Y/LGL, DG/Al"
"75","Y/RW, DG/Al"
"76","Y/DBR, DG/Al"
"77","Y/W, DG/Al"
"78","Y/BW, DG/Al"
"79","R/DG, DG/Al"
"80","R/L, DG/Al"
"81","R/LW, DG/Al"
"82","R/HPDB, DG/Al"
"83","R/LG, DG/Al"
"84","R/LGL, DG/Al"
"85","R/DB, DG/Al"
"86","R/W, DG/Al"
"87","R/B, DG/Al"
"88","R/BW, DG/Al"
"89","RY/DG, DG/Al"
"90","RY/L, DG/Al"
"91","RY/LW, DG/Al"
"92","RY/HPDB, DG/Al"
"93","RY/LG, DG/Al"
"94","RY/LGL, DG/Al"
"95","RY/O, DG/Al"
"96","RY/B, DG/Al"
"97","RY/BW, DG/Al"
"98","RW/DG, DG/Al"
"99","RW/HPDB, DG/Al"
"100","RW/LGL, DG/Al"
"101","RW/Y, DG/Al"
"102","RW/DB, DG/Al"
"103","RW/O, DG/Al"
"104","DB/DG, DG/Al"
"105","DB/LGL, DG/Al"
"106","DB/R, DG/Al"
"107","DB/RW, DG/Al"
"108","DB/LB, DG/Al"
"109","DB/BW, DG/Al"
"110","DBR/DG, DG/Al"
"111","DBR/L, DG/Al"
"112","DBR/LW, DG/Al"
"113","DBR/LG, DG/Al"
"114","DBR/LGL, DG/Al"
"115","DBR/Y, DG/Al"
"116","DBR/LB, DG/Al"
"117","DBR/O, DG/Al"
"118","DBR/W, DG/Al"
"119","DBR/B, DG/Al"
"120","DBR/BW, DG/Al"
"121","LB/DG, DG/Al"
"122","LB/L, DG/Al"
"123","LB/LW, DG/Al"
"124","LB/HPDB, DG/Al"
"125","LB/LGL, DG/Al"
"126","LB/Y, DG/Al"
"127","LB/R, DG/Al"
"128","LB/DB, DG/Al"
"129","LB/DBR, DG/Al"
"130","LB/O, DG/Al"
"131","LB/B, DG/Al"
"132","O/DG, DG/Al"
"133","O/L, DG/Al"
"134","O/LW, DG/Al"
"135","O/LG, DG/Al"
"136","O/LGL, DG/Al"
"137","O/Y, DG/Al"
"138","O/R, DG/Al"
"139","O/RY, DG/Al"
"140","O/RW, DG/Al"
"141","O/DB, DG/Al"
"142","O/DBR, DG/Al"
"143","O/LB, DG/Al"
"144","O/B, DG/Al"
"145","O/BW, DG/Al"
"146","W/DG, DG/Al"
"147","W/L, DG/Al"
"148","W/LG, DG/Al"
"149","W/LGL, DG/Al"
"150","W/R, DG/Al"
"151","W/RY, DG/Al"
"152","W/DBR, DG/Al"
"153","W/B, DG/Al"
"154","B/DG, DG/Al"
"155","B/L, DG/Al"
"156","B/LW, DG/Al"
"157","B/HPDB, DG/Al"
"158","B/LG, DG/Al"
"159","B/LGL, DG/Al"
"160","B/R, DG/Al"
"161","B/RY, DG/Al"
"162","B/RW, DG/Al"
"163","B/DB, DG/Al"
"164","B/DBR, DG/Al"
"165","B/LB, DG/Al"
"166","B/O, DG/Al"
"167","B/W, DG/Al"
"168","BW/DG, DG/Al"
"169","BW/L, DG/Al"
"170","BW/LG, DG/Al"
"171","BW/LGL, DG/Al"
"172","BW/Y, DG/Al"
"173","BW/R, DG/Al"
"174","BW/RY, DG/Al"
"175","BW/DB, DG/Al"
"176","BW/DBR, DG/Al"
"177","BW/O, DG/Al"
"178","DG/L, LG/Al"
"179","DG/LW, LG/Al"
"180","DG/HPDB, LG/Al"
"181","DG/LG, LG/Al"
"182","DG/LGL, LG/Al"
"183","DG/Y, LG/Al"
"184","DG/R, LG/Al"
"185","DG/RY, LG/Al"
"186","DG/RW, LG/Al"
"187","DG/DBR, LG/Al"
"188","DG/LB, LG/Al"
"189","DG/O, LG/Al"
"190","DG/W, LG/Al"
"191","DG/B, LG/Al"
"192","DG/BW, LG/Al"
"193","L/DG, LG/Al"
"194","L/HPDB, LG/Al"
"195","L/LG, LG/Al"
"196","L/Y, LG/Al"
"197","L/RY, LG/Al"
"198","L/RW, LG/Al"
"199","L/DB, LG/Al"
"200","L/DBR, LG/Al"
"201","L/LB, LG/Al"
"202","L/O, LG/Al"
"203","L/W, LG/Al"
"204","L/B, LG/Al"
"205","L/BW, LG/Al"
"206","LW/DG, LG/Al"
"207","LW/LG, LG/Al"
"208","LW/Y, LG/Al"
"209","LW/R, LG/Al"
"210","LW/RY, LG/Al"
"211","LW/DBR, LG/Al"
"212","LW/LB, LG/Al"
"213","LW/B, LG/Al"
"214","HPDB/DG, LG/Al"
"215","HPDB/L, LG/Al"
"216","HPDB/LW, LG/Al"
"217","HPDB/LG, LG/Al"
"218","HPDB/LGL, LG/Al"
"219","HPDB/Y, LG/Al"
"220","HPDB/R, LG/Al"
"221","HPDB/RW, LG/Al"
"222","HPDB/LB, LG/Al"
"223","HPDB/O, LG/Al"
"224","HPDB/W, LG/Al"
"225","HPDB/B, LG/Al"
"226","HPDB/BW, LG/Al"
"227","LG/DG, LG/Al"
"228","LG/L, LG/Al"
"229","LG/LW, LG/Al"
"230","LG/HPDB, LG/Al"
"231","LG/Y, LG/Al"
"232","LG/R, LG/Al"
"233","LG/RY, LG/Al"
"234","LG/DB, LG/Al"
"235","LG/DBR, LG/Al"
"236","LG/LB, LG/Al"
"237","LG/O, LG/Al"
"238","LG/B, LG/Al"
"239","LG/BW, LG/Al"
"240","LGL/DG, LG/Al"
"241","LGL/HPDB, LG/Al"
"242","LGL/Y, LG/Al"
"243","LGL/R, LG/Al"
"244","LGL/RY, LG/Al"
"245","LGL/RW, LG/Al"
"246","LGL/DB, LG/Al"
"247","LGL/DBR, LG/Al"
"248","LGL/LB, LG/Al"
"249","LGL/O, LG/Al"
"250","LGL/W, LG/Al"
"251","LGL/B, LG/Al"
"252","LGL/BW, LG/Al"
"253","Y/DG, LG/Al"
"254","Y/L, LG/Al"
"255","Y/LW, LG/Al"
"256","Y/HPDB, LG/Al"
"257","Y/LG, LG/Al"
"258","Y/LGL, LG/Al"
"259","Y/R, LG/Al"
"260","Y/RW, LG/Al"
"261","Y/DBR, LG/Al"
"262","Y/LB, LG/Al"
"263","Y/O, LG/Al"
"264","Y/W, LG/Al"
"265","Y/B, LG/Al"
"266","Y/BW, LG/Al"
"267","R/DG, LG/Al"
"268","R/LW, LG/Al"
"269","R/HPDB, LG/Al"
"270","R/LG, LG/Al"
"271","R/LGL, LG/Al"
"272","R/Y, LG/Al"
"273","R/DB, LG/Al"
"274","R/LB, LG/Al"
"275","R/O, LG/Al"
"276","R/W, LG/Al"
"277","R/B, LG/Al"
"278","R/BW, LG/Al"
"279","RY/DG, LG/Al"
"280","RY/LW, LG/Al"
"281","RY/LG, LG/Al"
"282","RY/LGL, LG/Al"
"283","RY/DB, LG/Al"
"284","RY/LB, LG/Al"
"285","RY/O, LG/Al"
"286","RY/B, LG/Al"
"287","RY/BW, LG/Al"
"288","RW/L, LG/Al"
"289","RW/HPDB, LG/Al"
"290","RW/LG, LG/Al"
"291","RW/LGL, LG/Al"
"292","RW/DB, LG/Al"
"293","RW/B, LG/Al"
"294","DB/L, LG/Al"
"295","DB/LW, LG/Al"
"296","DB/LG, LG/Al"
"297","DB/LGL, LG/Al"
"298","DB/Y, LG/Al"
"299","DB/R, LG/Al"
"300","DB/RY, LG/Al"
"301","DB/RW, LG/Al"
"302","DB/LB, LG/Al"
"303","DB/O, LG/Al"
"304","DB/B, LG/Al"
"305","DB/BW, LG/Al"
"306","DBR/DG, LG/Al"
"307","DBR/L, LG/Al"
"308","DBR/LW, LG/Al"
"309","DBR/LG, LG/Al"
"310","DBR/LGL, LG/Al"
"311","DBR/Y, LG/Al"
"312","DBR/LB, LG/Al"
"313","DBR/O, LG/Al"
"314","DBR/W, LG/Al"
"315","DBR/B, LG/Al"
"316","DBR/BW, LG/Al"
"317","LB/L, LG/Al"
"318","LB/LW, LG/Al"
"319","LB/LG, LG/Al"
"320","LB/LGL, LG/Al"
